id;name;bonus;latitude;longitude;difficuty;star;physical;technical;tactical;mental;created_at;modified_at;deleted_at;route_type;zoune_type
1;Industrial;connect Markets Chief;59789;72727;archive Georgia Aruba;96117;32533;84453;38867;74732;2019-10-29T07:04:31;2019-10-29T00:38:06;2019-10-28T17:41:53;ROUTE;EXTERIOR
2;Small;deliverables reinvent 24 hour;1407;81546;monitor;72900;79017;77127;60595;7404;2019-10-28T15:21:24;2019-10-29T04:59:04;2019-10-28T21:57:43;ROUTE;INTERIOR
3;payment;withdrawal COM;47221;38292;Developer;84891;76078;72172;56127;23598;2019-10-28T19:05:04;2019-10-29T07:26:31;2019-10-29T01:44:12;ROUTE;EXTERIOR
4;Outdoors;Harbor Montana;69551;90756;Phased;41038;53984;75555;20306;22879;2019-10-28T14:57:34;2019-10-29T11:44:24;2019-10-28T23:12:54;ROUTE;EXTERIOR
5;Squares mint green e-business;Ghana back-end National;31800;90682;contextually-based;64769;42710;52;81801;35256;2019-10-28T16:55:49;2019-10-29T06:16:22;2019-10-29T13:25:15;ROUTE;EXTERIOR
6;24/7;Gloves sky blue Oklahoma;40383;36362;Engineer;96244;24687;25178;69630;49724;2019-10-28T20:29:36;2019-10-29T06:22:00;2019-10-29T10:02:01;ROUTE;EXTERIOR
7;paradigms Home;Investor Public-key;14489;53093;Way Dominican Republic;59269;67213;8085;76161;36965;2019-10-29T07:53:04;2019-10-29T07:46:33;2019-10-28T20:06:38;BOULDER;EXTERIOR
8;installation;Argentine Peso;85835;59089;Algerian Dinar;1658;71114;51209;80950;22649;2019-10-29T05:13:11;2019-10-28T22:06:13;2019-10-29T11:16:46;BOULDER;EXTERIOR
9;Forint;Concrete Global SMS;25794;22855;Bacon Designer;51663;52965;26082;24185;99625;2019-10-29T11:21:11;2019-10-28T14:25:04;2019-10-28T16:03:17;BOULDER;INTERIOR
10;Internal AI optical;bypassing Marketing;78534;89855;Home Loan Account Tools Unbranded;66350;97366;506;28392;16080;2019-10-29T06:15:32;2019-10-29T00:25:05;2019-10-29T01:55:59;ROUTE;EXTERIOR
